"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW"
"US1CASC0054","GILROY 0.1 SE, CA US","2019-12-04",,,"1.03",
"US1CASC0054","GILROY 0.1 SE, CA US","2019-12-05",,,"0.29",
"US1CASC0054","GILROY 0.1 SE, CA US","2019-12-06",,,"0.02",
"US1CASC0054","GILROY 0.1 SE, CA US","2019-12-08","    2","0.63",,
"US1CASC0054","GILROY 0.1 SE, CA US","2019-12-09",,,"0.04",
"US1CASC0054","GILROY 0.1 SE, CA US","2019-12-10",,,"0.01",
"US1CASC0054","GILROY 0.1 SE, CA US","2019-12-11",,,"0.04",
"US1CASC0054","GILROY 0.1 SE, CA US","2019-12-12",,,"0.00",
"US1CASC0054","GILROY 0.1 SE, CA US","2019-12-13",,,"0.00",
"US1CASC0054","GILROY 0.1 SE, CA US","2019-12-14",,,"0.01",
"US1CASC0054","GILROY 0.1 SE, CA US","2019-12-15",,,"0.02",
"US1CASC0054","GILROY 0.1 SE, CA US","2019-12-16",,,"0.00",
"US1CASC0054","GILROY 0.1 SE, CA US","2019-12-18",,,"0.05",
"US1CASC0054","GILROY 0.1 SE, CA US","2019-12-19",,,"0.07",
"US1CASC0054","GILROY 0.1 SE, CA US","2019-12-22",,,"0.24",
"US1CASC0054","GILROY 0.1 SE, CA US","2019-12-23",,,"0.05",
"US1CASC0054","GILROY 0.1 SE, CA US","2019-12-24",,,"0.01",
"US1CASC0054","GILROY 0.1 SE, CA US","2019-12-25",,,"0.16",
"US1CASC0054","GILROY 0.1 SE, CA US","2019-12-26",,,"0.10",
"US1CASC0054","GILROY 0.1 SE, CA US","2019-12-27",,,"0.00",
"US1CASC0054","GILROY 0.1 SE, CA US","2019-12-28",,,"0.00",
"US1CASC0054","GILROY 0.1 SE, CA US","2019-12-29",,,"0.00",
"US1CASC0054","GILROY 0.1 SE, CA US","2019-12-30",,,"0.29",
"US1CASC0054","GILROY 0.1 SE, CA US","2019-12-31",,,"0.00",
"US1CASC0054","GILROY 0.1 SE, CA US","2020-01-01",,,"0.00",
"US1CASC0054","GILROY 0.1 SE, CA US","2020-01-02",,,"0.00",
"US1CASC0054","GILROY 0.1 SE, CA US","2020-01-04",,,"0.00",
"US1CASC0054","GILROY 0.1 SE, CA US","2020-01-09",,,"0.09",
"US1CASC0054","GILROY 0.1 SE, CA US","2020-01-10",,,"0.09",
"US1CASC0054","GILROY 0.1 SE, CA US","2020-01-11",,,"0.04",
"US1CASC0054","GILROY 0.1 SE, CA US","2020-01-12",,,"0.00",
"US1CASC0054","GILROY 0.1 SE, CA US","2020-01-13",,,"0.02",
"US1CASC0054","GILROY 0.1 SE, CA US","2020-01-14",,,"0.07",
"US1CASC0054","GILROY 0.1 SE, CA US","2020-01-15",,,"0.02",
"US1CASC0054","GILROY 0.1 SE, CA US","2020-01-16",,,"0.00",
"US1CASC0054","GILROY 0.1 SE, CA US","2020-01-17",,,"0.79",
"US1CASC0054","GILROY 0.1 SE, CA US","2020-01-18",,,"0.01",
"US1CASC0054","GILROY 0.1 SE, CA US","2020-01-19",,,"0.00",
"US1CASC0054","GILROY 0.1 SE, CA US","2020-01-20",,,"0.00",
"US1CASC0054","GILROY 0.1 SE, CA US","2020-01-21",,,"0.01",
"US1CASC0054","GILROY 0.1 SE, CA US","2020-01-22",,,"0.05",
"US1CASC0054","GILROY 0.1 SE, CA US","2020-01-23",,,"0.01",
"US1CASC0054","GILROY 0.1 SE, CA US","2020-01-24",,,"0.00",
"US1CASC0054","GILROY 0.1 SE, CA US","2020-01-25",,,"0.00",
"US1CASC0054","GILROY 0.1 SE, CA US","2020-01-26",,,"0.12",
"US1CASC0054","GILROY 0.1 SE, CA US","2020-01-27",,,"0.00",
"US1CASC0054","GILROY 0.1 SE, CA US","2020-01-28",,,"0.00",
"US1CASC0054","GILROY 0.1 SE, CA US","2020-01-29",,,"0.01",
"US1CASC0054","GILROY 0.1 SE, CA US","2020-01-30",,,"0.00",
"US1CASC0054","GILROY 0.1 SE, CA US","2020-01-31",,,"0.02",
